company_name,round,announced_date,amount_usd,valuation_usd,source,as_of
Anthropic,Series H,2026-05-28,50000000000,965000000000,CB Insights,2026-08-27
Anthropic,Series G,2026-02-12,30000000000,380000000000,CB Insights,2026-08-27
Anthropic,Corporate Minority - X,2026-04-24,10000000000,380000000000,CB Insights,2026-08-27
Anthropic,Corporate Minority - IX,2026-04-20,5000000000,380000000000,CB Insights,2026-08-27
Anthropic,Series H - II,2026-06-06,800000000,,CB Insights,2026-08-27
Anthropic,Series F,2025-09-02,13000000000,183000000000,CB Insights,2026-08-27
Anthropic,Series E,2025-03-03,3500000000,61500000000,CB Insights,2026-08-27
Anthropic,Corporate Minority - VII,2025-01-22,1000000000,,CB Insights,2026-08-27
Anthropic,Corporate Minority - VI,2024-11-22,4000000000,,CB Insights,2026-08-27
Sierra,Series E,2026-05-04,950000000,15800000000,CB Insights,2026-08-27
Sierra,Series D,2025-09-04,350000000,10000000000,CB Insights,2026-08-27
Sierra,Series C,2024-10-28,175000000,4500000000,CB Insights,2026-08-27
Sierra,Series B,2024-02-13,85000000,,CB Insights,2026-08-27
Sierra,Series A,2023-06-23,25000000,100000000,CB Insights,2026-08-27
Etched,Series D,2026-08-18,700000000,21000000000,CB Insights,2026-08-27
Etched,Series C,2026-07-23,300000000,10300000000,CB Insights,2026-08-27
Etched,Series B,2026-01-13,500000000,5000000000,CB Insights,2026-08-27
Etched,Series A,2024-06-25,120000000,500000000,CB Insights,2026-08-27
Etched,Seed VC,2023-05-16,5360000,34000000,CB Insights,2026-08-27
Harvey,Series F - II,2026-03-25,200000000,11000000000,CB Insights,2026-08-27
Harvey,Series F,2025-10-29,160000000,8000000000,CB Insights,2026-08-27
Harvey,Series E - II,2025-10-06,59000000,,CB Insights,2026-08-27
Harvey,Series E,2025-06-23,300000000,5000000000,CB Insights,2026-08-27
Harvey,Series D,2025-02-12,300000000,3000000000,CB Insights,2026-08-27
Harvey,Series C,2024-07-23,100000000,1500000000,CB Insights,2026-08-27
Harvey,Series B,2023-12-19,80000000,715000000,CB Insights,2026-08-27
Harvey,Series A,2023-04-11,21000000,150000000,CB Insights,2026-08-27
Harvey,Seed VC,2022-11-23,5000000,,CB Insights,2026-08-27
Skydio,Series F,2026-04-23,110000000,4400000000,CB Insights,2026-08-27
Skydio,Series E - II,2024-05-07,170000000,,CB Insights,2026-08-27
Skydio,Series E,2023-02-27,230000000,2200000000,CB Insights,2026-08-27
Skydio,Series D,2021-02-25,170000000,1000000000,CB Insights,2026-08-27
Skydio,Series C,2020-07-13,100000000,,CB Insights,2026-08-27
Skydio,Series B,2018-02-13,42000000,,CB Insights,2026-08-27
Skydio,Series A,2016-01-05,25000000,,CB Insights,2026-08-27
Skydio,Seed VC,2015-01-15,3000000,,CB Insights,2026-08-27
