"company_name","investor_name","round","announced_date","source","as_of"
"Clay","Bessemer Venture Partners","Other Investors","","CB Insights","2026-09-09"
"Clay","Sequoia Capital","Series A","2019-01-01","CB Insights","2026-09-09"
"Clay","Sequoia Capital","Series B","2024-01-01","CB Insights","2026-09-09"
"Clay","Sequoia Capital","Series B - II","2025-01-21","CB Insights","2026-09-09"
"Clay","Meritech Capital Partners","Series B","2024-06-27","CB Insights","2026-09-09"
"Clay","Meritech Capital Partners","Series B - II","2025-06-13","CB Insights","2026-09-09"
"Clay","Meritech Capital Partners","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","First Round Capital","Seed VC","2017-07-07","CB Insights","2026-09-09"
"Clay","First Round Capital","Series A","2019-01-01","CB Insights","2026-09-09"
"Clay","First Round Capital","Series B","2024-01-01","CB Insights","2026-09-09"
"Clay","First Round Capital","Series B - II","2025-06-13","CB Insights","2026-09-09"
"Clay","First Round Capital","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","Lux Capital","Other Investors","","CB Insights","2026-09-09"
"Clay","DST Global","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Wellington Management","Funding - Pending","2026-08-31","CB Insights","2026-09-09"
"Clay","Sunflower Capital","Other Investors","","CB Insights","2026-09-09"
"Clay","Sapphire Ventures","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","Boldstart Ventures","Series A","2019-01-01","CB Insights","2026-09-09"
"Clay","Boldstart Ventures","Series B","2024-01-01","CB Insights","2026-09-09"
"Clay","Boldstart Ventures","Series B - II","2025-06-13","CB Insights","2026-09-09"
"Clay","Boldstart Ventures","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","Shishir Mehrotra","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","BoxGroup","Seed VC","2017-07-07","CB Insights","2026-09-09"
"Clay","BoxGroup","Series A","2019-01-01","CB Insights","2026-09-09"
"Clay","BoxGroup","Series B","2024-01-01","CB Insights","2026-09-09"
"Clay","BoxGroup","Series B - II","2025-06-13","CB Insights","2026-09-09"
"Clay","BoxGroup","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","Frontline Ventures","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","CapitalG","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","CSC Upshot Ventures","Seed VC","2017-07-07","CB Insights","2026-09-09"
"Clay","Abstract","Seed VC","2017-07-07","CB Insights","2026-09-09"
"Clay","Founder Institute","Other Investors","","CB Insights","2026-09-09"
"Clay","HubSpot Ventures","Other Investors","","CB Insights","2026-09-09"
"Clay","Sequoia Capital","Series C","2025-06-13","CB Insights","2026-09-09"
"Clay","Maple VC","Seed VC","2017-07-07","CB Insights","2026-09-09"
"Clay","Maple VC","Series B","2024-06-27","CB Insights","2026-09-09"
"Clay","Operator Collective","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Lenny Rachitsky","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Claire Hughes Johnson","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","MKT1","Other Investors","","CB Insights","2026-09-09"
"Clay","Conviction Partners","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Founder Institute 50 LatAm","Other Investors","","CB Insights","2026-09-09"
"Clay","Ambush Capital","Other Investors","","CB Insights","2026-09-09"
"Clay","Avra","Other Investors","","CB Insights","2026-09-09"
"Clay","Avra","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Founder Institute Malaysia Core Accelerator Program","Other Investors","","CB Insights","2026-09-09"
"Clay","Park Rangers Capital","Other Investors","","CB Insights","2026-09-09"
"Clay","Founder Institute Waterloo","Other Investors","","CB Insights","2026-09-09"
"Clay","Sheila Joglekar Vashee","Secondary Market","2026-01-28","CB Insights","2026-09-09"
"Clay","Bridgespan VC","Other Investors","","CB Insights","2026-09-09"
"Clay","Founder Institute Silicon Valley Program","Other Investors","","CB Insights","2026-09-09"
"Cleveland Diagnostics","Novo Holdings","Series E","2024-01-17","CB Insights","2026-09-09"
"Cleveland Diagnostics","LYFE Capital","Series D","2021-02-09","CB Insights","2026-09-09"
"Cleveland Diagnostics","LYFE Capital","Series E - II","2025-10-20","CB Insights","2026-09-09"
"Cleveland Diagnostics","Paycheck Protection Program","Loan","2020-04-07","CB Insights","2026-09-09"
"Cleveland Diagnostics","Novo Growth","Other Investors","","CB Insights","2026-09-09"
"Cleveland Diagnostics","Cleveland Clinic Ventures","Series D","2021-02-09","CB Insights","2026-09-09"
"Cleveland Diagnostics","Cleveland Clinic Ventures","Series E - II","2025-10-20","CB Insights","2026-09-09"
"Cleveland Diagnostics","Serial Stage Venture Partners","Other Investors","","CB Insights","2026-09-09"
