company_name,investor_name,round,announced_date,source,as_of
"Ocean Aero","Advantage Capital","Series C","2022-09-30","CB Insights","2026-09-09"
"Ocean Aero","Lockheed Martin","Other Investors","","CB Insights","2026-09-09"
"Ocean Aero","Lockheed Martin Ventures","Unattributed VC","2017-09-15","CB Insights","2026-09-09"
"Ocean Aero","Lockheed Martin Ventures","Series B - II","2018-01-01","CB Insights","2026-09-09"
"Ocean Aero","Lockheed Martin Ventures","Series C","2022-09-30","CB Insights","2026-09-09"
"Ocean Aero","Energy Innovation Capital","Series B - II","2018-08-29","CB Insights","2026-09-09"
"Ocean Aero","Energy Innovation Capital","Series C","2022-01-01","CB Insights","2026-09-09"
"Ocean Aero","Energy Innovation Capital","Series D","2023-12-01","CB Insights","2026-09-09"
"Ocean Aero","James Fisher & Sons","Series D - II","2026-01-20","CB Insights","2026-09-09"
"OmicsBank","Redesign Health","Seed VC","2026-08-25","CB Insights","2026-09-09"
"OmicsBank","Orbit Ventures","Seed","2025-05-21","CB Insights","2026-09-09"
"Pistachio","Signals Venture Capital","Seed VC","2022-01-01","CB Insights","2026-09-09"
"Pistachio","Signals Venture Capital","Seed VC - II","2023-08-10","CB Insights","2026-09-09"
"Pistachio","J12","Seed VC","2022-01-01","CB Insights","2026-09-09"
"Pistachio","J12","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","Skyfall","Seed VC","2022-01-01","CB Insights","2026-09-09"
"Pistachio","MP Pensjon","Seed VC - II","2023-08-10","CB Insights","2026-09-09"
"Pistachio","MP Pensjon","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","Idekapital","Seed VC","2022-01-01","CB Insights","2026-09-09"
"Pistachio","Idekapital","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","Angel Invest","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","Nordic Secondary Fund","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","Walter Ventures","Series A","2025-04-29","CB Insights","2026-09-09"
"Pistachio","East Asia Edtech 150","Incubator/Accelerator","2025-09-09","CB Insights","2026-09-09"
"Qiagen","CHL Medical Partners","Other Investors","","CB Insights","2026-09-09"
"Qiagen","Heinrich Heine University Dusseldorf","Spinoff / Spinout","1984-01-01","CB Insights","2026-09-09"
"Quantinuum","JPMorganChase","Series B","2025-08-12","CB Insights","2026-09-09"
"Quantinuum","IBM Ventures","Seed VC","2022-02-22","CB Insights","2026-09-09"
"Quantinuum","J.P. Morgan","Series A","2024-01-04","CB Insights","2026-09-09"
"Quantinuum","QED Investors","Series B","2025-08-12","CB Insights","2026-09-09"
"Quantinuum","Fidelity International","Series B - II","2025-11-05","CB Insights","2026-09-09"
"Quantinuum","Quanta Computer","Series B","2025-08-12","CB Insights","2026-09-09"
"Quantinuum","Honeywell","Spinoff / Spinout","2021-06-08","CB Insights","2026-09-09"
"Quantinuum","Honeywell","Corporate Majority","2021-01-01","CB Insights","2026-09-09"
"Quantinuum","Honeywell","Series A","2024-01-01","CB Insights","2026-09-09"
