name,hq_country,hq_city,apac_office,source,as_of
"Sequoia Capital","United States","Menlo Park","","CB Insights","2026-09-09"
"Andreessen Horowitz","United States","Menlo Park","","CB Insights","2026-09-09"
"NVIDIA","United States","Santa Clara","","CB Insights","2026-09-09"
"Bessemer Venture Partners","United States","San Francisco","","CB Insights","2026-09-09"
"Fidelity Investments","United States","Boston","","CB Insights","2026-09-09"
"NVentures","United States","Santa Clara","","CB Insights","2026-09-09"
"General Catalyst","United States","San Francisco","","CB Insights","2026-09-09"
"Lux Capital","United States","New York","","CB Insights","2026-09-09"
"Kleiner Perkins","United States","Menlo Park","","CB Insights","2026-09-09"
"Tiger Global Management","United States","New York","","CB Insights","2026-09-09"
"Index Ventures","United Kingdom","London","","CB Insights","2026-09-09"
"Lightspeed","United States","Menlo Park","","CB Insights","2026-09-09"
"Lightspeed Venture Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"T. Rowe Price","United States","Baltimore","","CB Insights","2026-09-09"
"Alumni Ventures","United States","Manchester","","CB Insights","2026-09-09"
"BlackRock","United States","New York","","CB Insights","2026-09-09"
"Intel","United States","Santa Clara","","CB Insights","2026-09-09"
"NEA","United States","Menlo Park","","CB Insights","2026-09-09"
"Coatue","United States","New York","","CB Insights","2026-09-09"
"Founders Fund","United States","San Francisco","","CB Insights","2026-09-09"
"Salesforce Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"IQT","United States","McLean","","CB Insights","2026-09-09"
"Khosla Ventures","United States","Menlo Park","","CB Insights","2026-09-09"
"SV Angel","United States","San Francisco","","CB Insights","2026-09-09"
"Benchmark","United States","San Francisco","","CB Insights","2026-09-09"
"BoxGroup","United States","New York","","CB Insights","2026-09-09"
"DST Global","Cayman Islands","Grand Cayman","","CB Insights","2026-09-09"
"GV","United States","Mountain View","","CB Insights","2026-09-09"
"Menlo Ventures","United States","Menlo Park","","CB Insights","2026-09-09"
"SK Telecom Ventures","United States","Sunnyvale","","CB Insights","2026-09-09"
"Valor Equity Partners","United States","Chicago","","CB Insights","2026-09-09"
"Bain Capital Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Battery Ventures","United States","Boston","","CB Insights","2026-09-09"
"CapitalG","United States","San Francisco","","CB Insights","2026-09-09"
"Craft Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Sapphire Ventures","United States","Austin","","CB Insights","2026-09-09"
"137 Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"8VC","United States","Austin","","CB Insights","2026-09-09"
"Baillie Gifford","United Kingdom","Edinburgh","","CB Insights","2026-09-09"
"Bezos Expeditions","United States","Mercer Island","","CB Insights","2026-09-09"
"DCVC","United States","Palo Alto","","CB Insights","2026-09-09"
"Databricks Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Goldman Sachs","United States","New York","","CB Insights","2026-09-09"
"Institutional Venture Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"JPMorganChase","United States","New York","","CB Insights","2026-09-09"
"Liquid 2 Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Macquarie","Australia","Sydney","","CB Insights","2026-09-09"
"Qualcomm","United States","San Diego","","CB Insights","2026-09-09"
"Qatar Investment Authority","Qatar","Doha","","CB Insights","2026-09-09"
"Redpoint Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Saraswati Ventures","India","Mumbai","","CB Insights","2026-09-09"
"Section 32","United States","San Diego","","CB Insights","2026-09-09"
"Wellington Management","United States","Boston","","CB Insights","2026-09-09"
"Y Combinator","United States","Mountain View","","CB Insights","2026-09-09"
"1789 Capital","United States","Palm Beach","","CB Insights","2026-09-09"
"Accel","United States","Palo Alto","","CB Insights","2026-09-09"
"Altimeter Capital","United States","Boston","","CB Insights","2026-09-09"
"Atreides Management","United States","Boston","","CB Insights","2026-09-09"
"Blackstone","United States","New York","","CB Insights","2026-09-09"
"Blanck Capital","United States","New York","","CB Insights","2026-09-09"
"Canonical Crypto","United States","San Francisco","","CB Insights","2026-09-09"
"Eclipse","United States","Palo Alto","","CB Insights","2026-09-09"
"Fabrica Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"First Round Capital","United States","Philadelphia","","CB Insights","2026-09-09"
"Franklin Templeton","United States","San Mateo","","CB Insights","2026-09-09"
"Gaingels","United States","Burlington","","CB Insights","2026-09-09"
"General Atlantic","United States","New York","","CB Insights","2026-09-09"
"Geodesic Capital","United States","Foster City","","CB Insights","2026-09-09"
"Guillermo Rauch","United States","San Francisco","","CB Insights","2026-09-09"
"ICONIQ Capital","United States","San Francisco","","CB Insights","2026-09-09"
"J.P. Morgan","United States","New York","","CB Insights","2026-09-09"
"J12","Sweden","Stockholm","","CB Insights","2026-09-09"
"Long Journey Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"M12","United States","San Francisco","","CB Insights","2026-09-09"
"Mayfield","United States","Menlo Park","","CB Insights","2026-09-09"
"Microsoft","United States","Redmond","","CB Insights","2026-09-09"
"Nat Friedman","United States","San Francisco","","CB Insights","2026-09-09"
"Plug and Play","United States","Sunnyvale","","CB Insights","2026-09-09"
"Sands Capital","United States","Arlington","","CB Insights","2026-09-09"
"SoftBank Vision Fund","United Kingdom","London","","CB Insights","2026-09-09"
"Thrive Capital","United States","New York","","CB Insights","2026-09-09"
"US Innovative Technology Fund","United States","Pittsburgh","","CB Insights","2026-09-09"
"Washington Harbour Partners","United States","Arlington","","CB Insights","2026-09-09"
"a16z Bio Health","United States","Menlo Park","","CB Insights","2026-09-09"
"2468 Ventures","United States","San Diego","","CB Insights","2026-09-09"
"A&E investments","United States","San Francisco","","CB Insights","2026-09-09"
"AI Grant","United States","San Francisco","","CB Insights","2026-09-09"
"AMD Ventures","United States","Sunnyvale","","CB Insights","2026-09-09"
"Amazon","United States","Seattle","","CB Insights","2026-09-09"
"Amplify Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"Andrej Karpathy","United States","","","CB Insights","2026-09-09"
"Balaji Srinivasan","Singapore","Singapore","","CB Insights","2026-09-09"
"Berkeley Frontier Fund","United States","Berkeley","","CB Insights","2026-09-09"
"Bond","United States","San Francisco","","CB Insights","2026-09-09"
"Bossa Invest","Brazil","Sao Paulo","","CB Insights","2026-09-09"
"BroadLight Capital","United States","Los Angeles","","CB Insights","2026-09-09"
"DRW Venture Capital","United States","Chicago","","CB Insights","2026-09-09"
"Elad Gil","United States","San Francisco","","CB Insights","2026-09-09"
"Emerson Collective","United States","Palo Alto","","CB Insights","2026-09-09"
"Factorial Funds","United States","Los Angeles","","CB Insights","2026-09-09"
"Founders Circle Capital","United States","San Francisco","","CB Insights","2026-09-09"
"Greycroft","United States","New York","","CB Insights","2026-09-09"
"Greylock Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"HOF Capital","United States","New York","","CB Insights","2026-09-09"
"ICONIQ Growth","United States","San Francisco","","CB Insights","2026-09-09"
"Matrix Partners","United States","Cambridge","","CB Insights","2026-09-09"
"Osage University Partners","United States","Bala Cynwyd","","CB Insights","2026-09-09"
"Ribbit Capital","United States","Palo Alto","","CB Insights","2026-09-09"
"Felicis","United States","Menlo Park","","CB Insights","2026-09-09"
"Flat Capital","Sweden","Stockholm","","CB Insights","2026-09-09"
"Greenoaks","United States","San Francisco","","CB Insights","2026-09-09"
"K5 Global Technology","United States","Miami Beach","","CB Insights","2026-09-09"
"Maiora Ventures","Singapore","","","CB Insights","2026-09-09"
"Sozo Ventures","United States","Redwood City","","CB Insights","2026-09-09"
"Spark Capital","United States","Boston","","CB Insights","2026-09-09"
"StepStone Group","United States","New York","","CB Insights","2026-09-09"
"Team Ignite Ventures","United States","Folsom","","CB Insights","2026-09-09"
"Tribe Capital","United States","Menlo Park","","CB Insights","2026-09-09"
"9Yards Capital","United States","San Francisco","","CB Insights","2026-09-09"
"AIX Ventures","United States","Newark","","CB Insights","2026-09-09"
"Silent Ventures","United States","Dallas","","CB Insights","2026-09-09"
"Stripes","United States","New York","","CB Insights","2026-09-09"
"TSVC","United States","Los Altos","","CB Insights","2026-09-09"
"WorldQuant Ventures","United States","Old Greenwich","","CB Insights","2026-09-09"
"AME Cloud Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"Air Street Capital","United Kingdom","Guernsey","","CB Insights","2026-09-09"
"APL Ventures","United States","","","CB Insights","2026-09-09"
"AWS Jumpstart Program","United States","Seattle","","CB Insights","2026-09-09"
"Jackson Moses","United States","Denver","","CB Insights","2026-09-09"
"AWS Next unicorn Program","United States","","","CB Insights","2026-09-09"
"Alibaba.com","China","Hangzhou","","CB Insights","2026-09-09"
"Aliya Capital Partners","United States","Miami","","CB Insights","2026-09-09"
"Alpha Square Group","United States","New York","","CB Insights","2026-09-09"
"Amjad Masad","United States","San Francisco","","CB Insights","2026-09-09"
"Aramco Ventures","Saudi Arabia","Dhahran","","CB Insights","2026-09-09"
"Ark Ventures","United States","Saint Petersburg","","CB Insights","2026-09-09"
"Artisanal Ventures","United States","Belvedere Tiburon","","CB Insights","2026-09-09"
"Avenir","United States","New York","","CB Insights","2026-09-09"
"Avra Capital","United States","Winter Park","","CB Insights","2026-09-09"
