id,name,description,website,backing_funds
346,"Anduril","","anduril.com",5
230,"Airbnb","","",4
1001,"Cognition","","cognition.ai",4
279,"Alloy","","alloy.ai",3
363,"Augment","","goaugment.com",3
1124,"Daydream","","daydream.dental",3
709,"Runway","","runwayml.com",3
229,"SpaceX","","framerusercontent.com",3
335,"Affirmed Networks","","",2
343,"Amca","","",2
862,"Arca","","",2
362,"Audius","","",2
879,"Aven","","",2
890,"Beauty Pie","","",2
386,"Blend","","blend.com",2
904,"Bloom & Wild","","",2
390,"Blue Nile","","",2
412,"Chaos Labs","","chaosinc.com",2
415,"Ciena","","",2
830,"Create","","api.intellimize.co",2
2133,"Esper","","esper.com",2
472,"Evolv","","",2
1047,"Fireworks","","",2
1026,"Flexport","","flexport.com",2
2136,"Flux","","flux.ai",2
295,"Found","","",2
1490,"Foxglove","","foxglove.dev",2
507,"Gainsight","","",2
508,"Galileo Technology","","galileohealth.com",2
515,"Granola","","",2
1166,"Gremlin","","gremlin.com",2
297,"Guardant Health","","guardanthealth.com",2
1511,"Halter","","",2
521,"Hasura","","",2
1953,"Human Security","","",2
1956,"Illumio","","illumio.com",2
234,"Instacart","","",2
2439,"KSQ Therapeutics","","",2
1186,"Kindred","","",2
2161,"Latent Labs","","",2
1965,"Latus Bio","","",2
1545,"LaunchDarkly","","",2
254,"Linear","","",2
1192,"Lithic","","",2
1196,"Loop","","loop.us",2
231,"Lyft","","",2
588,"Materialize","","materialize.com",2
2284,"Meroxa","","meroxa.com",2
601,"Moment","","",2
305,"Multiverse","","",2
1208,"MyHeritage","","",2
621,"NYM","","",2
307,"Nest","","",2
238,"Nicira Networks","","",2
260,"Nubank","","",2
1994,"Nylas","","nylas.com",2
1015,"Oculus","","oculus.com",2
1320,"Offices","","",2
1022,"Oscar","","hioscar.com",2
641,"Pacific Fusion","","",2
240,"PagerDuty","","",2
999,"Palantir","","palantir.com",2
646,"Particle","","",2
1227,"Pave","","",2
1016,"Persona","","",2
313,"Personio","","",2
237,"Pinterest","","",2
663,"Playdom","","",2
2188,"Polly","","polly.io",2
672,"Ponder","","ponder.io",2
2018,"Primer","","primer.ai",2
1240,"Productboard","","",2
2192,"Quince","","quince.com",2
2313,"Radical","","",2
689,"Reactor","","reactor.inc",2
1243,"ReadySet","","readyset.io",2
315,"Resilience","","resilience.com",2
701,"Rippling","","",2
233,"Roblox","","",2
1671,"Rocket Lab","","",2
1252,"Ryft","","",2
2481,"Sana Biotechnology","","sana.com",2
718,"Seismic","","",2
719,"Seismic Therapeutic","","",2
1263,"ServiceTitan","","",2
1266,"Shopmonkey","","",2
731,"Skyfire","","",2
244,"Skype","","",2
733,"Smartex","","",2
2204,"Sonoma Biotherapeutics","","sonomabio.com",2
1718,"Subtle Medical","","",2
1282,"Superconductive","","",2
786,"TRIANA Biomedicines","","",2
768,"Terminal","","terminal.io",2
777,"Thinking Machines","","",2
780,"TollBit","","",2
785,"Trendsi","","",2
1018,"Twilio","","",2
2075,"Unlearn","","unlearn.ai",2
1006,"Varda","","",2
2501,"Vesalius Therapeutics","","",2
1308,"Vizcom","","",2
1030,"Wish","","wish.com",2
2224,"Wispr Flow","","flowvoice.ai",2
326,"Wiz","","",2
1314,"Wonderful","","",2
327,"Yugabyte","","yugabyte.com",2
829,"ZyG","","",2
364,"aurora","","",2
1093,"cargo.one","","",2
1823,"eGenesis","","egenesis.com",2
1809,"hugging face","","",2
1521,"illoca","","",2
1815,"impulse space","","",2
555,"karius","","",2
1808,"modal","","modal.com",2
1982,"nChroma Bio","","nchromabio.com",2
1819,"sakana","","",2
